package,service,method,fqmn,request,response,streaming,safety,live_status,http,proto
axxonsoft.bl.acfa,AcfaService,ListUnitsActions,axxonsoft.bl.acfa.AcfaService.ListUnitsActions,ListUnitsActionsRequest,ListUnitsActionsResponse,server,read,tested-pass,,axxonsoft/bl/acfa/AcfaService.proto
axxonsoft.bl.acfa,AcfaService,ListUnitsVisualizations,axxonsoft.bl.acfa.AcfaService.ListUnitsVisualizations,ListUnitsVisualizationsRequest,ListUnitsVisualizationsResponse,server,read,tested-pass,,axxonsoft/bl/acfa/AcfaService.proto
axxonsoft.bl.acfa,AcfaService,ListUnitsEvents,axxonsoft.bl.acfa.AcfaService.ListUnitsEvents,ListUnitsEventsRequest,ListUnitsEventsResponse,server,read,tested-pass,,axxonsoft/bl/acfa/AcfaService.proto
axxonsoft.bl.acfa,AcfaService,ListUnitsStates,axxonsoft.bl.acfa.AcfaService.ListUnitsStates,ListUnitsStatesRequest,ListUnitsStatesResponse,server,read,tested-pass,,axxonsoft/bl/acfa/AcfaService.proto
axxonsoft.bl.acfa,AcfaService,ListUnitTypes,axxonsoft.bl.acfa.AcfaService.ListUnitTypes,ListUnitTypesRequest,ListUnitTypesResponse,none,read,tested-pass,,axxonsoft/bl/acfa/AcfaService.proto
axxonsoft.bl.acfa,AcfaService,PerformAction,axxonsoft.bl.acfa.AcfaService.PerformAction,PerformActionRequest,PerformActionResponse,none,mutating,pending,,axxonsoft/bl/acfa/AcfaService.proto
axxonsoft.bl.acfa,AcfaService,DownloadData,axxonsoft.bl.acfa.AcfaService.DownloadData,DownloadDataRequest,DownloadDataResponse,server,read,pending,,axxonsoft/bl/acfa/AcfaService.proto
axxonsoft.bl.archive,ArchiveService,GetArchiveTraits,axxonsoft.bl.archive.ArchiveService.GetArchiveTraits,GetArchiveTraitsRequest,GetArchiveTraitsResponse,none,read,tested-pass,GET /v1/archive/traits,axxonsoft/bl/archive/ArchiveSupport.proto
axxonsoft.bl.archive,ArchiveService,ChangeBookmarks,axxonsoft.bl.archive.ArchiveService.ChangeBookmarks,ChangeBookmarksRequest,ChangeBookmarksResponse,none,mutating,pending,POST /v1/archive/action:makeUserComment,axxonsoft/bl/archive/ArchiveSupport.proto
axxonsoft.bl.archive,ArchiveService,GetRecordingInfo,axxonsoft.bl.archive.ArchiveService.GetRecordingInfo,RecInfoRequest,RecInfoResponse,none,read,tested-pass,GET /v1/archive/recordingInfo,axxonsoft/bl/archive/ArchiveSupport.proto
